Dataset	TargetID	Code	EmpiricalFormula	ChargeState	Scan	ScanStart	ScanEnd	NumMSSummed	NET	NETError	NumChromPeaksWithinTol	NumQualityChromPeaksWithinTol	MonoisotopicMass	MonoisotopicMassCalibrated	MassErrorInPPM	MonoMZ	IntensityRep	FitScore	IScore	FailureType	ErrorDescription							
Scott	30200000001	3-2-0-0-0-1	C34H61N2O29P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	992.30974	0	5	497.1621477	5000	0.0901	0.6829	100	100							
Scott	30201000001	3-2-1-0-0-1	C40H71N2O33P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1138.36765	0	5	570.1911009	5000	0.0901	0.6829	100	100							
Scott	40200000001	4-2-0-0-0-1	C40H71N2O34P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1154.36256	0	5	578.1885579	5000	0.0901	0.6829	100	100							
Scott	40201000001	4-2-1-0-0-1	C46H81N2O38P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1300.42047	0	5	651.217511	5000	0.0901	0.6829	100	100							
Scott	50200000001	5-2-0-0-0-1	C46H81N2O39P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1316.41538	0	5	659.214968	5000	0.0901	0.6829	100	100							
Scott	50201000001	5-2-1-0-0-1	C52H91N2O43P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1462.47329	0	5	732.2439212	5000	0.0901	0.6829	100	100							
Scott	60200000001	6-2-0-0-0-1	C52H91N2O44P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1478.4682	0	5	740.2413782	5000	0.0901	0.6829	100	100							
Scott	60201000001	6-2-1-0-0-1	C58H101N2O48P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1624.52611	0	5	813.2703313	5000	0.0901	0.6829	100	100							
Scott	70200000001	7-2-0-0-0-1	C58H101N2O49P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1640.52102	0	5	821.2677883	5000	0.0901	0.6829	100	100							
Scott	70201000001	7-2-1-0-0-1	C64H111N2O53P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1786.57893	0	5	894.2967415	5000	0.0901	0.6829	100	100							
Scott	80200000001	8-2-0-0-0-1	C64H111N2O54P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1802.57384	0	5	902.2941985	5000	0.0901	0.6829	100	100							
Scott	80201000001	8-2-1-0-0-1	C70H121N2O58P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1948.63175	0	5	975.3231517	5000	0.0901	0.6829	100	100							
Scott	90200000001	9-2-0-0-0-1	C70H121N2O59P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	1964.62666	0	5	983.3206087	5000	0.0901	0.6829	100	100							
Scott	90201000001	9-2-1-0-0-1	C76H131N2O63P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2110.68457	0	5	1056.349562	5000	0.0901	0.6829	100	100							
Scott	100200000001	10-2-0-0-0-1	C76H131N2O64P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2126.67948	0	5	1064.347019	5000	0.0901	0.6829	100	100							
Scott	100201000001	10-2-1-0-0-1	C82H141N2O68P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2272.73739	0	5	1137.375972	5000	0.0901	0.6829	100	100							
Scott	110200000001	11-2-0-0-0-1	C82H141N2O69P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2288.73231	0	5	1145.373429	5000	0.0901	0.6829	100	100							
Scott	110201000001	11-2-1-0-0-1	C88H151N2O73P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2434.79021	0	5	1218.402382	5000	0.0901	0.6829	100	100							
Scott	120200000001	12-2-0-0-0-1	C88H151N2O74P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2450.78513	0	5	1226.399839	5000	0.0901	0.6829	100	100							
Scott	120201000001	12-2-1-0-0-1	C94H161N2O78P1	2	1977	1422	1437	0	0.19107	-1.191074	9	3	2596.84303	0	5	1299.428792	5000	0.0901	0.6829	100	100							
